period,symbol,avg_neg,avg_neu,avg_pos,avg_compound,mention_count,market_avg_neg,market_avg_neu,market_avg_pos,market_avg_compound
2024-05-08,AAVE,0.0,0.954,0.046,0.3182,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,ADA,0.0335,0.781,0.1855,0.5952777777777778,18,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,ALGO,0.124,0.719,0.157,0.128,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,AVAX,0.04585714285714285,0.7881428571428571,0.16614285714285715,0.5103571428571428,7,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,BCH,0.0705,0.8049999999999999,0.125,0.26385,2,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,BNB,0.04485714285714286,0.8335714285714285,0.12142857142857144,0.2769285714285714,7,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,BTC,0.061738317757009345,0.763822429906542,0.17444859813084113,0.43841588785046726,214,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,COMP,0.0825,0.761,0.1565,0.0022499999999999742,2,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,CRO,0.0,0.756,0.244,0.9623,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,DOGE,0.03742,0.7972400000000001,0.1653,0.5736,50,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,DOT,0.0376,0.8267,0.1357,0.41661000000000004,10,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,ETC,0.0,0.819,0.181,0.7579,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,ETH,0.05041176470588236,0.8074117647058823,0.1422470588235294,0.4923882352941177,85,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,FIL,0.0,0.776,0.224,0.8934,1,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
2024-05-08,FLOW,0.03509090909090909,0.7972727272727272,0.16781818181818184,0.5419727272727273,11,0.05081201848998459,0.7914637904468412,0.1577442218798151,0.46384483821263484
