date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score
2022-12-28,Custom_Risk_8_positive,4,BTC,0.6190846835165722,1.2642171191028972,ETH,0.3248733871908586,0.6634156983091202,GNO,0.03043354193699055,0.062147563550002574,BCH,0.025608387355578577,0.05229423784746886
2023-01-04,Custom_Risk_8_positive,4,BTC,0.5992315540641434,1.2820532709328523,ETH,0.32970560034627877,0.7054036799330154,BCH,0.045574301236020694,0.09750601678740217,BNB,0.025488544353557154,0.05453262839409342
2023-01-11,Custom_Risk_8_positive,4,BTC,0.6316846057528103,1.2062791992004087,ETH,0.30198826707751186,0.576683619737807,ETC,0.03745678319604387,0.07152831971344287,BNB,0.02887034397363403,0.055131461321037065
2023-01-18,Custom_Risk_8_positive,4,BTC,0.5696801708001904,1.0934416372849403,ETH,0.2911221947895012,0.5587786720283561,ETC,0.07700893275400646,0.14781060993895934,BNB,0.062188701656301956,0.11936472295354247
2023-01-25,Custom_Risk_8_positive,4,BTC,0.5709669489687581,1.2211808584415342,ETH,0.26263218143720285,0.5617162138038313,AAVE,0.15703164477059867,0.33585838744221,BCH,0.009369224823440415,0.020038844688796076
2023-02-01,Custom_Risk_8_positive,4,BTC,0.5927141546205643,1.2363508798951723,ETH,0.1851829787299103,0.38627580750269147,INJ,0.12876882188257624,0.26860071587037526,AAVE,0.09333404476694913,0.1946868106189637
2023-02-08,Custom_Risk_8_positive,4,BTC,0.45600515025623234,1.0585177626355147,INJ,0.4279374313796938,0.9933645972145061,ETH,0.08470295280251458,0.1966196654550042,AAVE,0.03135446556155916,-0.0727826401000178
2023-02-15,Custom_Risk_8_positive,4,BTC,0.44379139324507955,0.9873845289622836,INJ,0.4374348769759238,0.9732420153448657,ETH,0.08524582225656335,0.18966209650739455,GNO,0.03352790752243314,-0.07459571699680703
2023-02-22,Custom_Risk_8_positive,4,BTC,0.4834900501554381,1.0602774101796635,INJ,0.36452143303505574,0.7993832362199262,ETH,0.12950581849701379,0.28400190199377756,AAVE,0.022482698312492472,-0.04930380083924482
2023-03-01,Custom_Risk_8_positive,4,BTC,0.5555150277904773,1.1288148210251192,INJ,0.2829974752797551,0.5750550901909434,ETH,0.15283342387385893,0.3105597965603472,BCH,0.008654073055908665,-0.017585205510278916
