date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score,asset_5_symbol,asset_5_weight,asset_5_score,asset_6_symbol,asset_6_weight,asset_6_score,asset_7_symbol,asset_7_weight,asset_7_score
2020-12-23,Custom_Risk_2_positive,7,BTC,0.22135411842012617,0.6972607401357356,INJ,0.061428318976059465,0.203624677760229,ETH,0.18845782236021882,0.1689524836559839,AAVE,0.14890666119084925,-0.09948655233880532,ETC,0.14200275926714215,-0.14457267943967098,BCH,0.12102567387010187,-0.14715784995666664,DCR,0.11682464591550236,-0.15219578291529154
2020-12-30,Custom_Risk_2_positive,7,BTC,0.23124097379447733,0.8603344040194169,INJ,0.05755188414244076,0.6977030322991117,ETH,0.17627874512309477,-0.05663089728231033,DCR,0.12211927806158523,-0.14950677124299072,BNB,0.159529666444608,-0.1761958509578052,AAVE,0.13648300870839666,-0.1883588185648491,GNO,0.11679644372539714,-0.27808628204216507
2021-01-06,Custom_Risk_2_positive,7,BTC,0.2121908461923061,1.0936298348272737,INJ,0.06808267837283624,0.32716557051439654,BNB,0.22359673577457562,0.2111727767598365,ETH,0.12020023028393399,0.08916697129927745,DCR,0.1356369909739875,0.009524506000767534,BCH,0.12488223374871446,-0.12347065487443859,GNO,0.11541028465364618,-0.38923450465425485
2021-01-13,Custom_Risk_2_positive,7,BTC,0.1870087045996259,1.074876433114937,ETH,0.12261421741901193,0.7128299684177525,DCR,0.13139619304043793,0.18464256986417252,GNO,0.11099755180923064,-0.024443827316388306,BNB,0.23895318708257954,-0.08737359837559748,INJ,0.12117401377749319,-0.2642740373212829,BCH,0.08785613227162106,-0.4328516137285246
2021-01-20,Custom_Risk_2_positive,7,BTC,0.19141745425142298,0.9490263477960703,ETH,0.15496819013839627,0.6358703003135968,DCR,0.14526275213952958,0.14958001741504007,AAVE,0.1285579690720296,-0.027108104440791966,BCH,0.08677635893568884,-0.1874906238421333,BNB,0.19369448443771173,-0.31142862224927476,INJ,0.0993227910252209,-0.32372305600977846
2021-01-27,Custom_Risk_2_positive,7,BTC,0.1962569934527885,0.6327856884182517,ETH,0.11505763682357689,0.4994952993909568,INJ,0.07846948315724785,0.27502721111714523,AAVE,0.09300923520096527,-0.12151956648168777,DCR,0.1422432877272709,-0.2350750534508981,BCH,0.1538877065734897,-0.2430818854619228,BNB,0.22107565706466098,-0.25831475356478784
2021-02-03,Custom_Risk_2_positive,7,BTC,0.16490359177717856,0.6135992668216802,AAVE,0.08240156397069542,0.48446942417570565,ETH,0.1092706178412635,0.29225466488613483,ETC,0.20196707527872304,-0.08623022740983471,BNB,0.18474326422269025,-0.10747047610535809,DCR,0.1082442692981545,-0.1852641028598997,BCH,0.1484696176112948,-0.2913767797378945
2021-02-10,Custom_Risk_2_positive,7,BTC,0.1710991935527245,0.6241166539051319,AAVE,0.10983638745973803,0.499811467031108,ETH,0.18334521550357202,0.3754736539953556,INJ,0.09680984926398065,-0.10406096621579677,GNO,0.1404408884680844,-0.1619110687833921,DCR,0.11532770456128133,-0.18396011330344192,ETC,0.1831407611906192,-0.2520196151526717
2021-02-17,Custom_Risk_2_positive,7,BTC,0.16724853370726345,0.7085989875223039,AAVE,0.12536887091355148,0.46582242408065183,BNB,0.07749000696100153,0.2579651325863977,ETH,0.2364615016863424,0.23824129242303543,INJ,0.0938889384210057,0.0006746501003208338,DCR,0.13091527191598218,-0.2457852286957739,GNO,0.16862687639485335,-0.2869080815590973
2021-02-24,Custom_Risk_2_positive,7,BTC,0.19423548096451154,0.6349207661808014,ETH,0.20110828589476662,0.0954627790006807,BNB,0.04872359665803715,0.08021931187396486,DCR,0.16300399266820245,0.04091780349934432,AAVE,0.20728218634778306,0.020776350334656926,BCH,0.10856752084853766,-0.14003181200654177,ETC,0.07707893661816159,-0.1612284142597315
